customer_id,account_num,trans_dtime,trans_type,trans_amt,balance_amt,product_id,trans_memo
C2026001,110-001-000001,2024-09-24 12:58:00,입금,1900000,81900000,ELS-2026-0417,나루 주가연계증권 제417회 입금
C2026001,110-001-000001,2024-11-03 17:10:00,매도,50000,81950000,ELS-2026-0417,나루 주가연계증권 제417회 매도
C2026001,110-001-000001,2024-11-27 20:02:00,매도,1040000,82990000,ELS-2026-0417,나루 주가연계증권 제417회 매도
C2026001,110-001-000001,2024-12-26 22:00:00,출금,1740000,81250000,ELS-2026-0417,나루 주가연계증권 제417회 출금
C2026001,110-001-000001,2025-01-16 03:08:00,출금,220000,81030000,ELS-2026-0417,나루 주가연계증권 제417회 출금
C2026001,110-001-000001,2025-02-19 05:00:00,배당,37000,81067000,ELS-2026-0417,나루 주가연계증권 제417회 배당
C2026001,110-001-000001,2025-03-28 10:00:00,매수,800000,80267000,ELS-2026-0417,나루 주가연계증권 제417회 매수
C2026001,110-001-000001,2025-05-05 17:04:00,출금,1570000,78697000,ELS-2026-0417,나루 주가연계증권 제417회 출금
C2026001,110-001-000001,2025-06-11 23:34:00,수수료,25000,78672000,ELS-2026-0417,나루 주가연계증권 제417회 수수료
C2026001,110-001-000001,2025-07-20 02:42:00,매수,1000000,77672000,ELS-2026-0417,나루 주가연계증권 제417회 매수
C2026001,110-001-000001,2025-08-26 07:07:00,배당,16000,77688000,ELS-2026-0417,나루 주가연계증권 제417회 배당
C2026001,110-001-000001,2025-09-21 12:11:00,수수료,14000,77674000,ELS-2026-0417,나루 주가연계증권 제417회 수수료
C2026001,110-001-000001,2025-11-04 16:37:00,매수,2370000,75304000,ELS-2026-0417,나루 주가연계증권 제417회 매수
C2026001,110-001-000001,2025-11-27 19:51:00,입금,3260000,78564000,ELS-2026-0417,나루 주가연계증권 제417회 입금
C2026001,110-001-000001,2026-01-08 02:34:00,입금,1170000,79734000,ELS-2026-0417,나루 주가연계증권 제417회 입금
C2026001,110-001-000002,2024-08-23 15:08:00,입금,1890000,46890000,FND-2026-0102,나루글로벌인컴증권투자신탁 입금
C2026001,110-001-000002,2024-09-30 17:24:00,입금,120000,47010000,FND-2026-0102,나루글로벌인컴증권투자신탁 입금
C2026001,110-001-000002,2024-11-13 22:30:00,매수,710000,46300000,FND-2026-0102,나루글로벌인컴증권투자신탁 매수
C2026001,110-001-000002,2024-12-21 04:50:00,출금,1730000,44570000,FND-2026-0102,나루글로벌인컴증권투자신탁 출금
C2026001,110-001-000002,2025-01-26 08:54:00,수수료,31000,44539000,FND-2026-0102,나루글로벌인컴증권투자신탁 수수료
C2026001,110-001-000002,2025-03-07 14:34:00,매수,3230000,41309000,FND-2026-0102,나루글로벌인컴증권투자신탁 매수
C2026001,110-001-000002,2025-04-15 20:07:00,출금,3830000,37479000,FND-2026-0102,나루글로벌인컴증권투자신탁 출금
C2026001,110-001-000002,2025-05-21 03:39:00,배당,7000,37486000,FND-2026-0102,나루글로벌인컴증권투자신탁 배당
C2026001,110-001-000002,2025-06-19 05:37:00,이자,9000,37495000,FND-2026-0102,나루글로벌인컴증권투자신탁 이자
C2026001,110-001-000002,2025-07-13 08:21:00,입금,2920000,40415000,FND-2026-0102,나루글로벌인컴증권투자신탁 입금
C2026001,110-001-000002,2025-08-11 10:51:00,이자,35000,40450000,FND-2026-0102,나루글로벌인컴증권투자신탁 이자
